symbol,event_date,open_price,close_price,high_price,low_price,total_volume,total_trade_value,avg_price,daily_return_pct
ANZ,2025-01-01,175.9,178.58,183.09,173.68,3635997,647142612.59,177.84707482993198,1.52
ANZ,2025-01-02,180.42,176.39,183.83,173.47,3048795,543144303.39,178.0821804511278,-2.23
ANZ,2025-01-03,174.15,174.28,179.14,169.94,3942864,690180255.78,174.93477124183008,0.07
ANZ,2025-01-04,177.56,176.36,179.75,171.18,4165000,731269639.38,175.61269230769233,-0.68
ANZ,2025-01-05,175.99,181.07,182.1,173.26,3779082,672083514.7,177.9426,2.89
ANZ,2025-01-06,179.91,177.66,182.5,172.37,3404495,604936554.89,177.6785401459854,-1.25
ANZ,2025-01-07,179.66,174.09,179.66,169.52,3631178,635741886.47,175.07557142857144,-3.1
ANZ,2025-01-08,176.02,177.68,180.33,171.36,3547740,624184953.28,175.90828947368422,0.94
ANZ,2025-01-09,179.18,177.11,183.15,173.35,3455370,615639188.61,178.22664179104476,-1.16
ANZ,2025-01-10,179.74,173.53,182.24,173.42,3743352,664127484.78,177.45587837837837,-3.45
ANZ,2025-01-11,174.71,173.31,180.11,170.06,4030055,704910382.49,174.96202614379084,-0.8
ANZ,2025-01-12,173.25,179.09,183.92,170.57,4309607,757662232.85,175.5016883116883,3.37
ANZ,2025-01-13,177.26,175.89,183.63,173.66,3748286,668438175.59,178.44041379310346,-0.77
ANZ,2025-01-14,177.04,175.81,182.25,171.3,3690238,654663835.45,177.33062068965518,-0.69
ANZ,2025-01-15,175.87,172.76,180.67,169.15,3776260,660335340.04,174.87047619047618,-1.77
ANZ,2025-01-16,174.31,180.2,181.05,169.42,2516521,442974821.25,175.85292452830188,3.38
ANZ,2025-01-17,180.39,179.17,182.8,173.37,3996804,713362574.03,178.43727891156462,-0.68
ANZ,2025-01-18,181.74,176.88,182.37,172.57,4121732,731609995.26,177.47765432098765,-2.67
ANZ,2025-01-19,175.33,173.99,179.16,168.73,4117225,719986797.45,174.82408805031446,-0.76
ANZ,2025-01-20,176.25,179.09,180.71,169.65,3837179,676041920.22,176.15793103448277,1.61
ANZ,2025-01-21,178.71,180.32,183.01,174.45,3559805,636183630.5,178.64986013986015,0.9
ANZ,2025-01-22,177.96,175.03,183.01,170.63,3672929,649477629.04,176.97659722222224,-1.65
ANZ,2025-01-23,171.82,178.19,178.95,170.96,3815593,666803662.61,174.7747619047619,3.71
ANZ,2025-01-24,175.76,177.75,182.06,171.45,4086643,720961582.92,176.45396103896104,1.13
ANZ,2025-01-25,178.42,177.64,182.96,174.09,4012977,716512091.67,178.54474025974025,-0.44
ANZ,2025-01-26,178.34,176.15,182.75,170.7,3669129,647948872.37,176.57632653061225,-1.23
ANZ,2025-01-27,177.03,176.06,179.4,170.78,2749904,481025681.75,174.82983193277312,-0.55
ANZ,2025-01-28,177.01,178.25,181.99,171.55,3398864,600808329.45,176.76930769230768,0.7
ANZ,2025-01-29,179.19,180.64,184.34,174.93,3210101,572431051.17,178.38640625,0.81
ANZ,2025-01-30,179.17,172.3,181.26,172.3,3177301,561144166.71,176.69031007751937,-3.83
ANZ,2025-01-31,172.31,173.83,179.52,171.19,3443761,601878288.85,174.72773049645392,0.88
ANZ,2025-02-01,173.19,180.45,184.33,172.05,3726216,658448063.54,176.8726712328767,4.19
ANZ,2025-02-02,179.7,177.15,182.47,173.07,3485502,622810429.57,178.39715328467153,-1.42
ANZ,2025-02-03,175.95,176.12,179.79,171.16,3715688,654425391.03,176.16223776223777,0.1
ANZ,2025-02-04,173.67,177.4,178.99,171.37,3462116,605507836.25,174.95380597014926,2.15
ANZ,2025-02-05,173.09,177.71,181.65,171.31,3563077,630786517.27,176.99028169014085,2.67
ANZ,2025-02-06,178.64,177.15,183.1,173.5,3668199,653552040.5,178.31124137931036,-0.83
