event_timestamp,symbol,price,volume,trade_value,event_date
2025-01-01 00:00:00,ANZ,175.9,34785,6118765.59,2025-01-01
2025-01-01 00:01:00,CBA,36.54,18327,669602.04,2025-01-01
2025-01-01 00:02:00,NAB,135.27,45341,6133089.86,2025-01-01
2025-01-01 00:03:00,MQG,67.61,23579,1594245.82,2025-01-01
2025-01-01 00:04:00,MQG,67.5,16288,1099406.74,2025-01-01
2025-01-01 00:05:00,WES,98.63,13050,1287143.47,2025-01-01
2025-01-01 00:06:00,NAB,136.45,67237,9174729.62,2025-01-01
2025-01-01 00:07:00,WOW,107.0,18010,1927128.12,2025-01-01
2025-01-01 00:08:00,TLS,33.84,13572,459335.02,2025-01-01
2025-01-01 00:09:00,CBA,35.51,39729,1410823.99,2025-01-01
2025-01-01 00:10:00,TLS,32.81,28492,934697.07,2025-01-01
2025-01-01 00:11:00,BHP,144.68,6653,962527.25,2025-01-01
2025-01-01 00:12:00,BHP,146.34,21556,3154435.83,2025-01-01
2025-01-01 00:13:00,WES,103.53,14558,1507236.14,2025-01-01
2025-01-01 00:14:00,WBC,97.24,22965,2233154.96,2025-01-01
2025-01-01 00:15:00,TLS,31.62,32099,1015015.96,2025-01-01
2025-01-01 00:16:00,CBA,35.62,63047,2245636.92,2025-01-01
2025-01-01 00:17:00,WES,105.96,25097,2659308.16,2025-01-01
2025-01-01 00:18:00,ANZ,176.01,23809,4190528.77,2025-01-01
2025-01-01 00:19:00,NAB,138.56,65933,9135733.22,2025-01-01
2025-01-01 00:20:00,WOW,104.92,20855,2188197.96,2025-01-01
2025-01-01 00:21:00,MQG,69.64,13529,942109.07,2025-01-01
2025-01-01 00:22:00,BHP,143.79,12363,1777648.96,2025-01-01
2025-01-01 00:23:00,ANZ,178.62,22759,4065304.96,2025-01-01
2025-01-01 00:24:00,WBC,88.16,51159,4510040.06,2025-01-01
2025-01-01 00:25:00,ANZ,178.52,30747,5488930.81,2025-01-01
2025-01-01 00:26:00,BHP,144.8,10663,1543953.5,2025-01-01
2025-01-01 00:27:00,WES,101.38,16448,1667512.41,2025-01-01
2025-01-01 00:28:00,CSL,107.2,28281,3031733.67,2025-01-01
2025-01-01 00:29:00,WES,96.47,16740,1614925.6,2025-01-01
2025-01-01 00:30:00,CSL,111.98,10266,1149627.19,2025-01-01
2025-01-01 00:31:00,MQG,64.29,22706,1459760.34,2025-01-01
2025-01-01 00:32:00,TLS,35.03,21359,748130.17,2025-01-01
2025-01-01 00:33:00,WBC,92.41,16991,1570154.23,2025-01-01
2025-01-01 00:34:00,TLS,38.75,19214,744614.52,2025-01-01
2025-01-01 00:35:00,ANZ,174.48,25631,4471998.31,2025-01-01
2025-01-01 00:36:00,CBA,39.48,24010,947815.44,2025-01-01
2025-01-01 00:37:00,CSL,107.15,16450,1762596.36,2025-01-01
2025-01-01 00:38:00,CBA,36.92,22284,822767.81,2025-01-01
2025-01-01 00:39:00,BHP,149.07,17120,2552009.35,2025-01-01
2025-01-01 00:40:00,CBA,34.8,25963,903442.53,2025-01-01
2025-01-01 00:41:00,ANZ,177.07,46452,8225434.02,2025-01-01
2025-01-01 00:42:00,TLS,35.66,60632,2162226.68,2025-01-01
2025-01-01 00:43:00,NAB,139.6,23482,3278170.47,2025-01-01
2025-01-01 00:44:00,BHP,144.97,19955,2892798.31,2025-01-01
2025-01-01 00:45:00,CBA,36.97,17396,643091.57,2025-01-01
2025-01-01 00:46:00,MQG,66.98,13453,901064.51,2025-01-01
2025-01-01 00:47:00,CSL,110.24,8515,938672.38,2025-01-01
2025-01-01 00:48:00,CBA,36.8,33850,1245610.13,2025-01-01
2025-01-01 00:49:00,TLS,36.81,38027,1399838.98,2025-01-01
2025-01-01 00:50:00,CBA,38.78,6463,250620.72,2025-01-01
2025-01-01 00:51:00,MQG,65.78,24719,1626103.93,2025-01-01
2025-01-01 00:52:00,ANZ,177.73,13273,2358976.11,2025-01-01
2025-01-01 00:53:00,BHP,150.89,53982,8145358.18,2025-01-01
2025-01-01 00:54:00,CBA,38.19,58339,2227729.84,2025-01-01
2025-01-01 00:55:00,BHP,143.77,16593,2385595.98,2025-01-01
2025-01-01 00:56:00,WOW,100.47,15556,1562863.5,2025-01-01
2025-01-01 00:57:00,BHP,146.04,8213,1199427.14,2025-01-01
2025-01-01 00:58:00,WES,102.89,10762,1107295.57,2025-01-01
2025-01-01 00:59:00,CBA,34.16,33433,1141987.17,2025-01-01
2025-01-01 01:00:00,WOW,104.52,44729,4674959.5,2025-01-01
2025-01-01 01:01:00,TLS,34.62,13457,465921.47,2025-01-01
2025-01-01 01:02:00,TLS,37.16,40609,1509152.36,2025-01-01
2025-01-01 01:03:00,WES,101.57,13071,1327604.44,2025-01-01
2025-01-01 01:04:00,NAB,137.97,14233,1963758.02,2025-01-01
2025-01-01 01:05:00,ANZ,176.57,37226,6572954.88,2025-01-01
2025-01-01 01:06:00,ANZ,178.32,13953,2488031.26,2025-01-01
2025-01-01 01:07:00,TLS,33.93,31756,1077554.84,2025-01-01
2025-01-01 01:08:00,NAB,137.91,49407,6813855.26,2025-01-01
2025-01-01 01:09:00,NAB,134.29,31293,4202368.15,2025-01-01
2025-01-01 01:10:00,ANZ,176.88,16583,2933241.24,2025-01-01
2025-01-01 01:11:00,BHP,148.71,12401,1844165.09,2025-01-01
2025-01-01 01:12:00,MQG,67.21,14606,981620.71,2025-01-01
2025-01-01 01:13:00,CBA,37.97,18468,701303.47,2025-01-01
2025-01-01 01:14:00,CSL,110.34,20823,2297699.86,2025-01-01
2025-01-01 01:15:00,NAB,133.86,31257,4184194.19,2025-01-01
2025-01-01 01:16:00,MQG,67.46,52151,3518298.82,2025-01-01
2025-01-01 01:17:00,CBA,33.97,38494,1307586.25,2025-01-01
2025-01-01 01:18:00,WBC,91.74,47283,4337684.48,2025-01-01
2025-01-01 01:19:00,WOW,102.2,33985,3473199.0,2025-01-01
2025-01-01 01:20:00,MQG,65.64,58844,3862583.93,2025-01-01
2025-01-01 01:21:00,CSL,108.49,27701,3005416.57,2025-01-01
2025-01-01 01:22:00,ANZ,174.31,28788,5018064.3,2025-01-01
2025-01-01 01:23:00,WES,103.52,16069,1663491.77,2025-01-01
2025-01-01 01:24:00,CSL,108.32,27249,2951650.88,2025-01-01
2025-01-01 01:25:00,WBC,92.79,30510,2831061.11,2025-01-01
2025-01-01 01:26:00,NAB,138.34,18208,2518881.25,2025-01-01
2025-01-01 01:27:00,CBA,38.37,16829,645717.48,2025-01-01
