month,cash_rate_pct,cpi_yoy_pct,unemployment_pct
2024-01-01,4.35,4.03,3.89
2024-02-01,4.3,3.98,3.96
2024-03-01,4.36,4.0,4.09
2024-04-01,4.27,3.99,4.0
2024-05-01,4.23,4.02,4.01
2024-06-01,4.28,3.91,4.09
2024-07-01,4.14,3.91,4.11
2024-08-01,4.24,3.7,4.15
2024-09-01,4.25,3.72,4.13
2024-10-01,4.24,3.82,4.06
2024-11-01,4.2,3.65,4.14
2024-12-01,4.22,3.54,4.06
2025-01-01,4.18,3.55,4.17
2025-02-01,4.13,3.54,4.15
2025-03-01,4.1,3.71,4.24
2025-04-01,4.17,3.46,4.26
2025-05-01,4.05,3.55,4.24
2025-06-01,4.07,3.35,4.25
2025-07-01,4.0,3.39,4.21
2025-08-01,4.07,3.26,4.23
2025-09-01,4.04,3.42,4.33
2025-10-01,3.98,3.22,4.25
2025-11-01,3.95,3.16,4.3
2025-12-01,3.95,3.15,4.39
2026-01-01,4.0,3.08,4.36
2026-02-01,3.9,3.15,4.35
2026-03-01,3.95,3.04,4.4
2026-04-01,3.85,2.98,4.38
2026-05-01,3.88,2.85,4.36
2026-06-01,3.88,2.93,4.37
