event_timestamp,city,temperature_c,humidity_pct,wind_kmh
2025-01-01 00:00:00,Brisbane,19.5,77,6.0
2025-01-01 01:00:00,Perth,30.9,45,31.1
2025-01-01 02:00:00,Melbourne,29.2,77,4.1
2025-01-01 03:00:00,Perth,22.2,52,1.7
2025-01-01 04:00:00,Brisbane,22.0,93,24.0
2025-01-01 05:00:00,Adelaide,17.7,48,18.4
2025-01-01 06:00:00,Perth,15.5,35,5.6
2025-01-01 07:00:00,Melbourne,21.5,93,12.3
2025-01-01 08:00:00,Melbourne,17.2,42,9.7
2025-01-01 09:00:00,Perth,21.5,80,2.7
2025-01-01 10:00:00,Brisbane,24.8,57,30.3
2025-01-01 11:00:00,Sydney,13.8,93,3.6
2025-01-01 12:00:00,Sydney,18.6,45,15.9
2025-01-01 13:00:00,Brisbane,17.4,65,21.6
2025-01-01 14:00:00,Melbourne,18.8,47,13.2
2025-01-01 15:00:00,Brisbane,16.3,62,14.3
2025-01-01 16:00:00,Melbourne,20.0,62,9.2
2025-01-01 17:00:00,Melbourne,25.9,42,21.3
2025-01-01 18:00:00,Brisbane,18.6,89,4.1
2025-01-01 19:00:00,Sydney,14.4,35,16.0
2025-01-01 20:00:00,Brisbane,19.9,72,11.0
2025-01-01 21:00:00,Sydney,15.4,50,3.6
2025-01-01 22:00:00,Sydney,21.7,41,8.5
2025-01-01 23:00:00,Sydney,12.9,75,19.3
2025-01-02 00:00:00,Brisbane,28.2,82,12.7
2025-01-02 01:00:00,Perth,25.0,62,9.2
2025-01-02 02:00:00,Adelaide,17.6,83,6.5
2025-01-02 03:00:00,Adelaide,8.3,93,17.5
2025-01-02 04:00:00,Brisbane,34.0,83,21.1
2025-01-02 05:00:00,Adelaide,22.8,40,9.3
2025-01-02 06:00:00,Brisbane,18.2,82,8.2
2025-01-02 07:00:00,Adelaide,27.2,89,35.0
2025-01-02 08:00:00,Melbourne,26.1,50,11.1
2025-01-02 09:00:00,Brisbane,17.9,81,3.9
2025-01-02 10:00:00,Brisbane,18.5,38,9.5
2025-01-02 11:00:00,Sydney,21.9,54,4.5
2025-01-02 12:00:00,Perth,19.2,77,10.4
2025-01-02 13:00:00,Brisbane,23.5,80,12.9
2025-01-02 14:00:00,Perth,26.5,92,6.2
2025-01-02 15:00:00,Brisbane,22.2,89,13.9
2025-01-02 16:00:00,Brisbane,16.1,41,15.8
2025-01-02 17:00:00,Adelaide,24.9,41,7.9
